starname,mag3_6,mag4_5,mag5_8,mag8_0,mag24
2dFS3358,16.817,16.641,99.999,99.999,99.999
2dFS3361,16.483,99.999,99.999,99.999,99.999
2dFS3368,16.01,15.891,99.999,99.999,99.999
2dFS3372,16.278,16.053,99.999,99.999,99.999
2dFS3374,15.609,15.574,99.999,99.999,99.999
2dFS3377,15.494,15.168,99.999,99.999,99.999
2dFS3380,16.537,16.082,99.999,99.999,99.999
2dFS3386,16.76,16.571,99.999,99.999,99.999
2dFS3387,16.921,99.999,99.999,99.999,99.999
2dFS3389,16.836,16.745,99.999,99.999,99.999
2dFS3390,17.408,16.919,99.999,99.999,99.999
2dFS3393,16.823,99.999,99.999,99.999,99.999
2dFS3395,15.318,15.104,99.999,99.999,99.999
2dFS3396,16.476,16.238,99.999,99.999,99.999
2dFS3400,16.627,99.999,99.999,99.999,99.999
2dFS3402,17.025,17.175,99.999,99.999,99.999
2dFS3405,16.141,16.084,99.999,99.999,99.999
2dFS3409,16.481,16.292,99.999,99.999,99.999
2dFS3414,16.973,99.999,99.999,99.999,99.999
2dFS3415,16.97,16.872,99.999,99.999,99.999
2dFS3417,17.006,99.999,99.999,99.999,99.999
2dFS3419,15.038,99.999,99.999,99.999,99.999
2dFS3420,16.19,16.093,99.999,99.999,99.999
2dFS3422,17.472,99.999,99.999,99.999,99.999
2dFS3425,17.452,99.999,99.999,99.999,99.999
2dFS3426,15.254,14.864,99.999,99.999,99.999
2dFS3429,17.322,17.108,99.999,99.999,99.999
2dFS3430,16.259,16.257,99.999,99.999,99.999
2dFS3431,16.856,99.999,99.999,99.999,99.999
2dFS3432,15.699,15.58,99.999,99.999,99.999
2dFS3434,14.998,14.783,14.401,99.999,99.999
2dFS3435,16.393,16.111,99.999,99.999,99.999
2dFS3436,99.999,15.675,99.999,99.999,99.999
2dFS3438,17.131,99.999,99.999,99.999,99.999
2dFS3439,16.461,16.451,99.999,99.999,99.999
2dFS3440,16.68,16.673,99.999,99.999,99.999
2dFS3441,15.659,15.501,99.999,99.999,99.999
2dFS3447,15.621,15.367,99.999,99.999,99.999
2dFS3448,14.247,13.983,13.669,13.402,99.999
2dFS3449,15.985,15.816,99.999,99.999,99.999
2dFS3452,16.57,16.415,99.999,99.999,99.999
2dFS3453,16.632,99.999,99.999,99.999,99.999
2dFS3454,16.521,16.813,99.999,99.999,99.999
2dFS3455,16.4,16.626,99.999,99.999,99.999
2dFS3457,16.346,16.03,99.999,99.999,99.999
2dFS3459,17.063,17.007,99.999,99.999,99.999
2dFS3460,15.805,16.093,99.999,99.999,99.999
2dFS3462,16.104,99.999,99.999,99.999,99.999
2dFS3463,15.188,15.177,99.999,99.999,99.999
2dFS3464,14.784,14.462,14.035,99.999,99.999
2dFS3465,16.986,99.999,99.999,99.999,99.999
2dFS3466,15.977,99.999,99.999,99.999,99.999
2dFS3467,16.049,16.125,99.999,99.999,99.999
2dFS3468,17.144,99.999,99.999,99.999,99.999
2dFS3474,15.93,15.438,99.999,99.999,99.999
2dFS3476,15.492,15.198,99.999,99.999,99.999
2dFS3479,15.363,15.021,99.999,99.999,99.999
2dFS3480,16.556,16.87,99.999,99.999,99.999
2dFS3481,15.336,14.944,99.999,99.999,99.999
2dFS3484,17.035,99.999,99.999,99.999,99.999
2dFS3486,16.882,16.709,99.999,99.999,99.999
AzV502;2dFS3489,13.712,13.54,13.448,99.999,99.999
2dFS3491,16.535,16.581,99.999,99.999,99.999
2dFS3496,16.266,16.216,99.999,99.999,99.999
2dFS3498,16.801,16.929,99.999,99.999,99.999
2dFS3499,16.632,17.019,99.999,99.999,99.999
2dFS3500,16.127,15.963,99.999,99.999,99.999
2dFS3501,16.12,16.126,99.999,99.999,99.999
2dFS3502,16.549,16.478,99.999,99.999,99.999
2dFS3504,16.302,16.202,99.999,99.999,99.999
2dFS3507,15.716,15.896,99.999,99.999,99.999
2dFS3508,99.999,15.772,99.999,99.999,99.999
2dFS3511,17.051,16.907,99.999,99.999,99.999
2dFS3515,15.605,15.632,99.999,99.999,99.999
2dFS3519,16.93,17.042,99.999,99.999,99.999
2dFS3520,16.802,16.962,99.999,99.999,99.999
2dFS3521,16.839,16.639,99.999,99.999,99.999
2dFS3524,17.487,99.999,99.999,99.999,99.999
2dFS3525,15.352,15.242,99.999,99.999,99.999
2dFS3529,16.553,16.307,99.999,99.999,99.999
AzV503;2dFS3530,14.613,14.45,14.089,99.999,99.999
2dFS3532,16.962,99.999,99.999,99.999,99.999
2dFS3535,17.599,99.999,99.999,99.999,99.999
2dFS3537,16.276,16.076,99.999,99.999,99.999
2dFS3538,16.522,16.385,99.999,99.999,99.999
2dFS3539,17.508,99.999,99.999,99.999,99.999
2dFS3540,17.459,99.999,99.999,99.999,99.999
AzV505;2dFS3541,13.87,13.711,13.548,13.337,99.999
2dFS3542,16.821,16.866,99.999,99.999,99.999
2dFS3544,17.083,99.999,99.999,99.999,99.999
2dFS3548,16.699,16.642,99.999,99.999,99.999
AzV506,14.189,14.177,14.113,99.999,99.999
2dFS3549,17.339,17.309,99.999,99.999,99.999
2dFS3550,14.689,14.436,14.094,99.999,99.999
2dFS3551,17.108,17.053,99.999,99.999,99.999
2dFS3552,17.172,17.233,99.999,99.999,99.999
2dFS3553,15.571,15.411,99.999,99.999,99.999
2dFS3554,15.908,15.982,99.999,99.999,99.999
2dFS3555,15.458,15.457,99.999,99.999,99.999
2dFS3556,14.39,14.14,14.052,99.999,99.999
2dFS3557,16.981,99.999,99.999,99.999,99.999
2dFS3558,16.971,99.999,99.999,99.999,99.999
2dFS3562,15.063,14.811,99.999,99.999,99.999
2dFS3563,14.827,14.565,99.999,99.999,99.999
2dFS3565,17.593,16.894,99.999,99.999,99.999
2dFS3566,16.463,16.497,99.999,99.999,99.999
2dFS3567,15.461,15.102,99.999,99.999,99.999
2dFS3568,16.917,99.999,99.999,99.999,99.999
2dFS3572,16.453,99.999,99.999,99.999,99.999
2dFS3573,14.974,14.53,99.999,99.999,99.999
2dFS3574,16.705,99.999,99.999,99.999,99.999
2dFS3575,15.748,15.374,99.999,99.999,99.999
2dFS3576,17.193,17.028,99.999,99.999,99.999
2dFS3577,17.198,99.999,99.999,99.999,99.999
2dFS3578,15.818,15.729,99.999,99.999,99.999
2dFS3579,16.911,17.131,99.999,99.999,99.999
2dFS3580,16.485,16.579,99.999,99.999,99.999
2dFS3582,16.189,16.312,99.999,99.999,99.999
2dFS3583,16.778,99.999,99.999,99.999,99.999
2dFS3584,17.287,99.999,99.999,99.999,99.999
2dFS3589,16.917,16.598,99.999,99.999,99.999
2dFS3590,16.093,16.114,99.999,99.999,99.999
2dFS3597,16.781,99.999,99.999,99.999,99.999
2dFS3598,16.554,99.999,99.999,99.999,99.999
2dFS3599,16.136,16.403,99.999,99.999,99.999
2dFS3600,16.445,99.999,99.999,99.999,99.999
2dFS3603,16.364,16.087,99.999,99.999,99.999
2dFS3604,16.693,16.662,99.999,99.999,99.999
2dFS3607,16.919,99.999,99.999,99.999,99.999
2dFS3608,16.474,16.282,99.999,99.999,99.999
2dFS3610,16.632,16.495,99.999,99.999,99.999
2dFS3611,14.745,14.529,13.96,99.999,99.999
2dFS3612,15.761,15.709,99.999,99.999,99.999
2dFS3614,16.91,16.515,99.999,99.999,99.999
2dFS3616,17.264,99.999,99.999,99.999,99.999
2dFS3618,16.772,16.951,99.999,99.999,99.999
2dFS3619,16.662,16.539,99.999,99.999,99.999
2dFS3620,14.961,14.797,14.564,99.999,9.197
2dFS3623,16.628,16.768,99.999,99.999,99.999
2dFS3624,14.729,14.507,14.065,99.999,99.999
2dFS3626,16.883,16.894,99.999,99.999,99.999
2dFS3628,13.361,13.097,12.858,12.671,99.999
2dFS3629,17.088,16.723,99.999,99.999,99.999
2dFS3631,17.259,16.967,99.999,99.999,99.999
2dFS3632,15.069,15.082,99.999,99.999,99.999
2dFS3633,16.682,16.481,99.999,99.999,99.999
2dFS3635,16.705,16.805,99.999,99.999,99.999
2dFS3636,16.556,16.523,99.999,99.999,99.999
2dFS3637,14.886,14.772,99.999,99.999,99.999
2dFS3638,16.196,16.375,99.999,99.999,99.999
2dFS3639,16.259,16.355,99.999,99.999,99.999
2dFS3641,16.203,16.284,99.999,99.999,99.999
2dFS3642,15.881,15.939,99.999,99.999,99.999
2dFS3643,15.684,15.551,99.999,99.999,99.999
2dFS3644,17.157,99.999,99.999,99.999,99.999
2dFS3645,16.245,16.044,99.999,99.999,99.999
2dFS3646,15.946,15.986,99.999,99.999,99.999
2dFS3647,17.331,99.999,99.999,99.999,99.999
2dFS3649,16.995,99.999,99.999,99.999,99.999
2dFS3656,15.167,15.09,14.562,99.999,99.999
2dFS3657,16.898,16.647,99.999,99.999,99.999
2dFS3658,15.607,15.591,99.999,99.999,9.464
2dFS3659,16.16,15.951,99.999,99.999,99.999
2dFS3660,16.007,15.924,99.999,99.999,99.999
2dFS3661,16.259,16.292,99.999,99.999,99.999
2dFS3662,16.454,16.101,99.999,99.999,99.999
2dFS3665,16.958,16.776,99.999,99.999,99.999
2dFS3666,15.609,15.708,99.999,99.999,99.999
2dFS3667,14.758,14.329,13.972,99.999,99.999
2dFS3670,14.832,14.57,14.438,99.999,99.999
2dFS3672,17.449,99.999,99.999,99.999,99.999
2dFS3673,13.572,13.315,12.919,99.999,99.999
2dFS3674,17.25,16.925,99.999,99.999,99.999
2dFS3678,17.188,99.999,99.999,99.999,99.999
2dFS3679,16.651,16.641,99.999,99.999,99.999
2dFS3680,15.757,15.709,99.999,99.999,99.999
2dFS3681,14.008,13.636,13.581,13.254,99.999
2dFS3682,16.942,16.774,99.999,99.999,99.999
2dFS3684,16.65,16.965,99.999,99.999,99.999
2dFS3686,17.242,16.85,99.999,99.999,99.999
2dFS3687,16.886,99.999,99.999,99.999,99.999
2dFS3688,16.838,16.69,99.999,99.999,99.999
2dFS3689,16.114,16.022,99.999,99.999,99.999
2dFS3690,16.52,16.497,99.999,99.999,99.999
2dFS3691,16.019,16.194,99.999,99.999,99.999
2dFS3692,16.543,16.54,99.999,99.999,99.999
2dFS3694,14.673,14.56,99.999,99.999,99.999
2dFS3697,15.967,15.96,99.999,99.999,99.999
2dFS3698,15.109,14.708,99.999,99.999,99.999
2dFS3699,17.529,99.999,99.999,99.999,99.999
2dFS3701,15.359,15.374,13.138,99.999,7.689
