IDs,mag3_6,mag4_4,mag5_8,mag8_0,mag24
SSTISAGEMA J004353.88-725514.7  ,12.868804358844,9.7424267205247,11.3103484763952,9.7424267205247,6.48591166509464
SSTM1SAGE1 J004358.82-742334.4  ,15.9010391262526,12.2826997254907,13.7438564950676,12.2826997254907,8.26726155892413
SSTISAGEMA J004404.48-731532.1  ,13.199104900198,11.1815186787725,12.5190484967571,11.1815186787725,7.12218763151521
SSTM1SAGE1 J004412.57-723648.7  ,13.4967843464475,10.4183045447463,12.7583364582365,10.4183045447463,8.1239660590638
SSTISAGEMA J004416.34-730037.7  ,14.9996135933805,10.9352298573239,12.4812799863432,10.9352298573239,6.83338298286782
SSTISAGEMA J004418.05-733301.6  ,15.9416743231575,11.5073531269746,13.3369655094417,11.5073531269746,8.37712537891638
SSTISAGEMA J004418.45-731510.9  ,14.7736891451628,10.9513749153573,12.4358449987356,10.9513749153573,6.90548093402283
SSTISAGEMA J004419.08-731514.0  ,14.5606740985769,11.2224948022108,12.3020468886325,11.2224948022108,7.33580033889624
SSTISAGEMA J004419.19-733257.3  ,15.9602344061783,12.2056630838275,13.8854819868088,12.2056630838275,8.35757415332245
SSTISAGEMA J004423.75-731537.9  ,14.7958801452577,10.571055085801,11.9897000236643,10.571055085801,6.56885150402577
SSTISAGEMA J004432.01-744029.4  ,12.4766746494626,8.59926333277959,10.8107533831902,8.59926333277959,5.92617702851858
SSTISAGEMA J004435.26-731118.3  ,15.1909411327163,11.4351627995919,12.8953776189052,11.4351627995919,8.23363466120363
SSTISAGEMA J004437.70-731544.5  ,16.0378199311236,11.8287856441048,13.404319590044,11.8287856441048,8.42795780690984
SSTISAGEMA J004437.94-730641.1  ,14.8756029717477,11.3977199455885,12.8307549830631,11.3977199455885,8.51474426490017
SSTISAGEMA J004448.23-730344.7  ,17.1381641675759,12.4620530503324,14.6346799212553,12.4620530503324,10.1330874081799
SSTISAGEMA J004451.19-715556.9  ,11.871784983734,9.28409892028876,10.4159544230415,9.28409892028876,6.89067322472598
SSTISAGEMA J004451.91-725733.8  ,11.7203230963026,8.26534748351991,9.65992282592216,8.26534748351991,2.77576781950766
SSTISAGEMA J004452.43-723209.1  ,13.2638423585425,10.6482163451233,11.5693213584148,10.6482163451233,7.28723716349531
SSTISAGEMA J004452.69-731734.0  ,13.5178976115757,10.0543285292406,11.1411794733243,10.0543285292406,6.06370942871346
SSTISAGEMA J004456.37-731431.3  ,15.2123493691379,11.6918186593808,13.3369655094417,11.6918186593808,7.92315210060571
SSTISAGEMA J004456.38-731011.3  ,9.60892526164341,6.3031973810266,7.20718212721962,6.3031973810266,1.15554017262047
SSTISAGEMA J004500.63-731253.3  ,16.348827186622,12.9065565903175,14.2103021832269,12.9065565903175,9.75143502299122
SSTM1SAGE1 J004502.80-731638.3  ,12.0551691437034,8.27389834135494,9.8508615410687,8.27389834135494,2.39219691178548
SSTISAGEMA J004503.53-731628.0  ,11.5242566061544,8.28226658819728,9.13114467142568,8.28226658819728,3.97052762062974
SSTISAGEMA J004510.87-732310.4  ,15.0230475898956,10.9886038669917,12.5782851034475,10.9886038669917,7.83585073121433
SSTISAGEMA J004513.61-732254.2  ,16.549729590727,12.3314485368817,13.8103484575828,12.3314485368817,9.18124592468325
SSTISAGEMA J004517.63-732253.5  ,14.2146829458386,9.23428637551624,12.0441494791683,9.23428637551624,4.39590775452339
SSTM1SAGE1 J004518.61-731524.6  ,11.4850677166941,11.3706027111586,11.4780128242195,11.3706027111586,7.45146946896452
SSTISAGEMA J004521.30-731218.6  ,12.9953293596829,10.3631213498562,11.4882874438948,10.3631213498562,5.6501966626001
