SourceName,mag3_6,dmag3_6,mag4_5,dmag4_5,mag5_8,dmag5_8,mag8_0,dmag8_0,mag24,dmag24
N76_J010328.47-720142.9,16.3299999237,0.1449999958,15.9960002899,0.0960000008,14.1879997253,0.1630000025,99.9990005493,99.9990005493,9.935,0.08214
N76_J010307.57-720242.8,16.1679992676,0.1780000031,15.6400003433,0.112999998,14.0069999695,0.1439999938,12.6750001907,0.2039999962,9.573,0.06492
N76_J010324.77-720320.7,17.3479995728,0.0549999997,16.5279998779,0.0430000015,16.1009998322,0.1589999944,14.3850002289,0.1019999981,99.999,99.999
N78_J010503.25-715958.7,16.6830005646,0.1059999987,16.922000885,0.1299999952,14.8260002136,0.2060000002,13.295999527,0.123999998,99.999,99.999
N78_J010505.08-715921.9,99.9990005493,99.9990005493,13.8529996872,0.0540000014,12.3669996262,0.1209999993,99.9990005493,99.9990005493,99.999,99.999
N78_J010505.76-715942.8,13.0200004578,0.0410000011,12.5229997635,0.0219999999,10.640999794,0.0260000005,8.8260002136,0.0240000002,2.891,0.01874
N78_J010506.09-715842.7,99.9990005493,99.9990005493,16.936000824,0.2160000056,14.3260002136,0.1640000045,99.9990005493,99.9990005493,99.999,99.999
N78_J010506.43-715818.4,99.9990005493,99.9990005493,15.3109998703,0.0780000016,12.9379997253,0.064000003,11.3039999008,0.1220000014,99.999,99.999
N78_J010506.68-715914.6,99.9990005493,99.9990005493,15.4569997787,0.2070000023,13.1129999161,0.0960000008,11.5920000076,0.1140000001,99.999,99.999
N78_J010507.03-715924.1,14.9919996262,0.0689999983,14.5419998169,0.0500000007,12.5380001068,0.0520000011,11.0579996109,0.0450000018,99.999,99.999
N78_J010507.62-715836.2,14.3190002441,0.201000005,13.9469995499,0.0489999987,12.5190000534,0.0890000015,99.9990005493,99.9990005493,6.502,0.01165
N78_J010508.98-715851.9,99.9990005493,99.9990005493,16.8700008392,0.1609999985,14.4549999237,0.1650000066,12.7049999237,0.0850000009,99.999,99.999
N78_J010509.46-715940.9,14.1979999542,0.0430000015,13.5069999695,0.0359999985,12.2259998322,0.0280000009,10.6759996414,0.0659999996,99.999,99.999
N78_J010512.98-720021.6,15.611000061,0.1920000017,15.8760004044,0.0710000023,13.7019996643,0.0829999968,12.170999527,0.0680000037,99.999,99.999
N78_J010517.72-715915.0,16.2479991913,0.0590000004,16.0939998627,0.0719999969,14.2620000839,0.0500000007,12.7790002823,0.0430000015,99.999,99.999
N78_J010518.16-715839.6,15.4829998016,0.1420000046,15.248000145,0.0680000037,13.4259996414,0.126000002,12.0520000458,0.1689999998,8.662,0.03393
N78_J010524.64-715853.5,14.9429998398,0.1819999963,14.968000412,0.0439999998,12.7869997025,0.0439999998,11.3500003815,0.0529999994,8.226,0.02919
N78_J010526.56-715847.8,99.9990005493,99.9990005493,16.436000824,0.1110000014,14.3509998322,0.123999998,99.9990005493,99.9990005493,9.023,0.04092
N78_J010541.65-715952.7,16.486000061,0.0939999968,16.4869995117,0.1550000012,13.9270000458,0.0970000029,12.4169998169,0.1379999965,10.12,0.1002
N78_J010513.34-715801.3,14.9250001907,0.0649999976,14.1309995651,0.0270000007,12.9600000381,0.0520000011,11.7580003738,0.0780000016,8.443,0.0248
N78_J010516.31-715751.6,16.561000824,0.1140000001,16.0069999695,0.0529999994,14.7329998016,0.1850000024,99.9990005493,99.9990005493,99.999,99.999
N78_J010519.93-715750.2,16.4400005341,0.0700000003,16.392999649,0.0659999996,15.1890001297,0.1220000014,13.8380002975,0.1889999956,99.999,99.999
N78_J010520.36-715902.5,15.8699998856,0.1089999974,15.4750003815,0.0599999987,13.9809999466,0.1099999994,12.515999794,0.1710000038,10.03,0.09959
N78_J010520.91-715821.8,15.7329998016,0.057,14.9280004501,0.0270000007,14.0609998703,0.0549999997,13.0880002975,0.1400000006,99.999,99.999
N78_J010529.82-715906.4,16.4319992065,0.202000007,16.4449996948,0.0769999996,14.8179998398,0.1930000037,13.6280002594,0.1809999943,99.999,99.999
N78_J010532.19-715906.5,16.1529998779,0.0480000004,15.4750003815,0.064000003,14.5200004578,0.0869999975,13.6040000916,0.1490000039,8.71,0.03439
N78_J010537.98-715906.2,17.3449993134,0.150000006,16.5009994507,0.0810000002,15.109000206,0.1089999974,14.0209999084,0.1220000014,8.42,0.02656
N78_J010540.57-720005.8,17.1520004272,0.0579999983,16.2870006561,0.063000001,15,0.0860000029,13.7170000076,0.0759999976,9.991,0.0953
N78_J010543.35-715847.1,16.1539993286,0.0689999983,15.8280000687,0.0540000014,15.1809997559,0.1120000035,14.7530002594,0.1480000019,99.999,99.999
N78_J010549.43-715939.2,13.998000145,0.023,13.1459999084,0.0209999997,12.3500003815,0.0270000007,11.2379999161,0.023,99.999,99.999
N78_J010551.85-715953.3,15.7329998016,0.1340000033,14.9449996948,0.0949999988,13.8959999084,0.0890000015,99.9990005493,99.9990005493,99.999,99.999
N80_J010833.52-715944.1,14.9429998398,0.1599999964,14.5340003967,0.0939999968,12.9930000305,0.0979999974,11.9040002823,0.1280000061,99.999,99.999
N80_J010822.95-715827.3,16.079000473,0.1000000015,15.4479999542,0.0520000011,13.7950000763,0.1369999945,12.4440002441,0.2070000023,8.063,0.02463
N80_J010824.01-715820.8,15.8970003128,0.057,15.1680002213,0.0469999984,14.0979995728,0.1319999993,13.2080001831,0.1609999985,9.782,0.08115
N80_J010828.96-720005.6,15.4239997864,0.126000002,15.2250003815,0.0700000003,13.5909996033,0.0860000029,12.1929998398,0.1070000008,7.306,0.02106
